,caption
36,"2022 was an incredible year and despite severe floods in KZN and another year impacted by COVID not only can we say we made it, but we also managed to achieve alot to be proud of. 

Our final newsletter of 2022 covered our highlights for last year one of which was the Umhlanga River blockage in January. 

After the storms and heavy rains earlier in January, we took to social media to show the extent of damage in the Umhlanga River where we quickly deployed a team of 20 staff. 

To paint a picture, the plastic ‘blockage’ was approximately 3 meters deep and 70m upstream, which resulted in hundreds of thousands of kgs of plastic pollution.

What followed was a spectacular show of teamwork, with many organisations and individuals from around the world rallying together to remedy this bad situation!

A significant R200 000 was raised and allowed us to expand our team to 20 and deploy a TLB, as well as tractors and trailers (thanks to local farmer Rob West).

It was a tremendous feat due to our communities support and belief we were able to tackle this environmental disaster and cleared a massive 150 000kgs of waste. 

WATCH:  https://youtu.be/SsSRqxBT310
.
.
•​​​​​​​​
•​​​​​​​​
#Parley #ParleyAir #ParleyForTheOceans #OceanConservation #OceanPollution #OceanCleanUp #RiverPollution #RiverConservation #Pollution #StopPollution #PlasticPollution #EndPlasticPollution #StopPlasticPollution #Recycle #Litter #CleanUp #GreenFuture #ConsciousLiving #Environment #SaveOurPlanet #PlasticBottle #Plastics #PlasticFreeLiving #PlasticWaste #PlasticOcean"
37,"A hodgepodge of mini cleanups today… First stop, Humarock Beach parking lot, mostly doggy doodoo bags dropped by dodos. 

Next, the rear of the former Bank of America building on Front Street; the slow decay has accelerated and the graffiti artists are tagging it — This needs to be cleaned up. We removed the broken glass from the scene but this mess requires professional help. The deteriorating building is situated on the estuary which forms where Satuit Brook meets the Atlantic Ocean.

Last stop: Greenbush... We tidied up the path between New Driftway and Ford Place. Many nips, some fast food service, and more graffiti, this time a giant black and red caterpillar. The black body looks to be covering up writing. I think a coat of paint colored to match the wall is needed to discourage further artful contributions. The graffiti is a disturbing trend, keeping in mind the Broken Windows Theory which states that when low level crimes like vandalism are ignored, higher level and more serious crimes begin to occur.

Today’s total weight: 4.5 pounds
Number of nip bottles collected: 11

#scituatetrashed #humarockbeach #scituateharbor #satuitbrook #estuary #tidalestuary #greenbush #endnips #bannips #scituate #scituatema #scituategraffiti #cleanup #oceancleanup #conservation #oceanconservation #lovewhereyoulive #protectwhatyoulove #bethechange"
38,"In December, a team of staff and guests removed 376 kg of plastic debris from the beaches of St Francois Island! 💪🏼

Unfortunately, this represents only a year of debris accumulation on only half the island which gives insight to just how much plastic pollution affects these remote oceanic atolls. 

A massive well done to:
@ics_seychelles
@bluesafariseychelles
@alphonsefishingco

Encouraging you to get involved with beach and river clean-ups in your area this year as well as be conscious about your consumption so we can tackle the #plasticplague together!

#marineconservation #plasticparadise #seychelles #outerislands #getinvolved #beachclean #cleanupyourneighbourhood #rivercleanup #oceanproject #oceancleanup #plasticpollution #marinedebris"
39,"Museum Beach was the focus of our efforts today. The storm surge swept in loads of marine debris: nylon rope, styrofoam bits, bottle caps, the omnipresent alcohol containers, and our cute new friend, a Barbie Chelsea Color Reveal doll! She lost her hairpiece, her skirt, and her shoes in the storm, but she loves her new shovel. 

In addition to the debris that surged in, Museum Beach has a serious problem with doggie doodoo bags. I hate to use a cutesy name for this disgusting item that dog owners seem compelled to toss in any direction in this town. One true nut job in the Museum Beach area has a penchant for flinging their doggie doodoo bags *at* the dumpster belonging to Scituate Yacht Club. They don’t even bother to throw the bags into the dumpster, they pile them up beside it. Then let us note the numerous piles of doggie doodoo that are left on the beach outside of bags. 

The debris that we cleaned up today weighed 11 pounds. We also moved an orange kayak that some selfish and uncaring soul had left overturned on the beachgrass. The lack of couth is bewildering.

#scituatetrashed #scituateharbor #museumbeach #scituate #scituatema #cleanup #oceancleanup #conservation #oceanconservation #lovewhereyoulive #protectwhatyoulove #bethechange"
40,"Happy New Year everyone!  What's the best way to start the year?  Helping our oceans of course and even if it was a 130 mile round trip after night shift, I wasn't going to miss this meet-up organised by @seashepherduk for anything.  32 kgs of rubbish cleared, kids left inspired to do it all again and my energies were well and truly revived to keep doing what I love ❤️. Wishing you all the best 2023 and that it brings you everything you wish for #oceancleanup #oceanclean #oceanlife #oceanconservation #bournemouthbeach #keepbournemouthtidy #cleanoceans"
41,"Happy New Year everyone!  What's the best way to start the year?  Helping our oceans of course and even if it was a 130 mile round trip after night shift, I wasn't going to miss this meet-up organised by @seashepherduk for anything.  32 kgs of rubbish cleared, kids left inspired to do it all again and my energies were well and truly revived to keep doing what I love ❤️. Wishing you all the best 2023 and that it brings you everything you wish for #oceancleanup #oceanclean #oceanlife #oceanconservation #bournemouthbeach #keepbournemouthtidy #"
42,"Seabin Project is an inspiring company dedicated to providing practical and tangible solutions to reduce the plastics in our oceans.🌊🌎💚
 
There are currently 860 Seabins in Marina’s worldwide, that work to filter debris, trash, oil and microfibres out of the oceans through 100% recyclable mesh bags.♻️
 
Seabins or “Trash skimmers” catch approximately 3612.8 kgs of trash each day!🤩
 
Each Seabin has the capacity to catch per year,
- 90 000 Plastic bags,
- 35 700 Disposable cups,
- 16 500 Plastic bottles,
- 166 500 Plastic utensils.
 
While this is a fantastic project, it is still up to us to choose biodegradable, choose nontoxic, choose reusable - GO GREEN!🌱♻️💚

#seabin #seabinproject #plasticpollution #marinelife #marineconservation #oceancleanup #reducewaste #saveourseas #clearocean #thegreenstewardess #stopplasticpollution #ecocrew #ecofriendlyproducts #sustainableliving #greensolutions #plasticfree #ecofriendlyyachting"
43,"As we reach the end of the year, here is a recap on some of 2022’s most important ocean optimism 😊

NEGOTIATIONS BEGIN FOR AN INTERNATIONAL TREATY TO CURB PLASTIC POLLUTION ♻️
In March 2022 the  United Nations began negotiations on an international treaty to curb plastic pollution, these should conclude in 2023.

54 NEW SPECIES OF SHARKS GIVEN LEGAL PROTECTIONS🦈
CoP19 resulted in expansion of protection for around 90% of shark and ray species. 

DEEP SEA MINING HALTED 🌊⛏️
Multiple nations spoke out, halting the further development of the deep sea mining industry

THE GREEN SHIPPING INITIATIVE WAS LAUNCHED 
In November The Green shipping challenge launched. Detailing the decarbonisation of an industry responsible for 3% of global emissions.

Finally, some milestones that have increased since we last reported them in these posts!

OVER 2M kg OF PLASTIC REMOVED FROM THE GREAT PACIFIC GARBAGE PATCH 🗑️🌊
As of today, the ocean cleanup project has removed 193,826 kg of plastic from the Great Pacific garbage patch. 

OVER 190 COUNTRIES HAVE PLEDGED THE 30X30 INITIATIVE ⛰️🌊
While the number of countries which have pledged to protect 30% of their land and oceans by 2030 is up to 112.

Whilst a lot has been done to help our oceans this year, we still have a long way to go. Join us as we fight for our planet, and tell the stories that bring us ocean optimism in the coming year! 🌏🌊💪🏻"
44,"GAIA Insights is a proud supporter of @theoceancleanup. A portion of our 2022 annual donations have once again been given to this wonderful organization that's working tirelessly to rid the oceans from plastic. 

After 61 extractions and 194,092 kg of plastic out of the ocean, their System 002 is going on winter break. 2022 in numbers:

- 8 trips into the Great Pacific Garbage Patch on cleaning operations
- Over 150 days at sea (including transit)
- 153,000 kg of plastic removed from the Great Pacific Garbage Patch
- 4 consecutive trips with catch totals over 25,000 kg
- 99.9% of catch comprising only plastic

""As we enter winter, it is time to bring our system back to port for scheduled evaluation and upgrades as part of the ongoing transition to the larger and more efficient System 03. We are scheduled to head back out to restart cleaning the Great Pacific Garbage Patch in March 2023.""

Find our post on LinkedIn or Facebook to read The Ocean Cleanup's latest update and why it's worth our support: https://theoceancleanup.com/updates/system-002-signs-off-for-2022-redeployment-in-spring-2023/

#gaiainsights #oceancleanup #oceanconservation #plasticfreeoceans #regenerativeleadership #planet #inthistogether"
45,"Wow! Amazing work from @theoceancleanup

On this cleanup, they extracted 10,755 kg of trash from the ocean! 

Incredible!

#oceancleanup #cleansea #plasticfree #sealife #clearwaters #coast #ocean"
46,"Wow! Amazing work from @theoceancleanup

On this cleanup, they extracted 10,755 kg of trash from the ocean! 

Incredible!

#oceancleanup #cleansea #plasticfree #sealife #clearwaters #coast #ocean"
47,"Wow! Amazing work from @theoceancleanup

On this cleanup, they extracted 10,755 kg of trash from the ocean! 

Incredible!

#oceancleanup #cleansea #plasticfree #sealife #clearwaters #coast #ocean"
48,"16,040kg's of litter removed from the Ohlanga Estuary! 🙌💪

""The cleanup has been a monumental effort from our team on the ground. They have worked tirelessly in challenging and ever changing conditions and their commitment to cleaning as much waste as possible from that estuary and surrounding coastline has been impressive. 

We have formed a great relationship with the eThekwini Parks Department and this project would not have been possible without having them at our side. They committed themselves 100% and have not let us down one bit and we look forward to future collaborations with their department. 

As we round off our 1-month strike clean of the estuary we will look to see what measures we can take to further our impact there and continue protecting that important ecosystem.' - Josh Redman, Operations Manager, The Litterboom Project

#Parley #ParleyAir #ParleyForTheOceans #OceanConservation #OceanPollution #OceanCleanUp #RiverPollution #RiverConservation #Pollution #StopPollution #PlasticPollution #EndPlasticPollution #StopPlasticPollution #Recycle #Litter #CleanUp #GreenFuture #ConsciousLiving #Environment #SaveOurPlanet #PlasticBottle #Plastics #PlasticFreeLiving #PlasticWaste #PlasticOcean"
49,First time dealing with a rain event and they stopped 35000 lbs of waste from entering the ocean near LA. This group has also been tackling the great pacific garbage patch and kicking ass.  They need support even if it's just cheering them on.  #oceancleanup #support
50,"Much of the plastic waste that enters our oceans is picked up by circulating ocean currents known as gyres. Waste from the US  and Japan gets sucked into the Great Garbage Patch, an area of the Pacific between the US and Japan. The ‘Patch’ covers some 1.6 million square kilometers and contains around 100 million kilograms of plastic.

@TheOceanCleanup is a non-profit organization that wants to remove 90% of the Patch’s floating plastic by 2040. Its net-based System 002 has already removed more than 100,000kg of plastic from the patch. Now, the organization is working on System 003 and based on a recently-released concept video, it looks pretty awesome.

System 003 will use drones to identify waste hotspots and direct the three-ship net system to the location. Two ships will tow a massive 1,600-meter wide and four-meter deep screening system between them. The screening system funnels plastic waste into a central net. When full, the team empty the net onto a third boat, where the plastic is sorted and stored in onboard shipping containers for subsequent recycling. The slow towing speed of the system (0.75m/s) should allow most marine life to avoid being caught up (though I do wonder what will happen to jellyfish).

The Ocean Cleanup plans to create a fleet of ten System 003 machines in the coming months. You can follow their progress on Twitter and Instagram.

🔄: @utuearth via @oneplanetshop.de
#plasticpollutes #refuseplastic #plasticpollution #plasticfree #climatecrisis #sustainability #climatechange #reducewaste #breakfreefromplastic #beatplasticpollution #oceancleanup #oceanplastic"
